WKT,Name,Latitude,Longitude
"POINT (106.787315 10.892351)",Point 664,10.892351,106.787315
"POINT (106.78546 10.895426)",Point 665,10.895426,106.78546
"POINT (106.8041763306 10.8746957779)",Point 666,10.8746957779,106.8041763306
"POINT (106.8102493286 10.8785238266)",Point 667,10.8785238266,106.8102493286
"POINT (106.78391 10.886541)",Point 668,10.886541,106.78391
"POINT (106.77857 10.892904)",Point 669,10.892904,106.77857
"POINT (106.78677 10.890103)",Point 670,10.890103,106.78677
"POINT (106.7913208008 10.875711441)",Point 671,10.875711441,106.7913208008
"POINT (106.78262 10.897104)",Point 672,10.897104,106.78262
"POINT (106.7912445068 10.8760042191)",Point 673,10.8760042191,106.7912445068
"POINT (106.773445 10.8986845)",Point 674,10.8986845,106.773445
"POINT (106.78198 10.8912945)",Point 675,10.8912945,106.78198
"POINT (106.78252 10.893493)",Point 676,10.893493,106.78252
"POINT (106.8101425171 10.8790340424)",Point 677,10.8790340424,106.8101425171
"POINT (106.7773971558 10.9035921097)",Point 678,10.9035921097,106.7773971558
"POINT (106.776695 10.897442)",Point 679,10.897442,106.776695
"POINT (106.78056 10.887674)",Point 680,10.887674,106.78056
"POINT (106.78678 10.889048)",Point 681,10.889048,106.78678
"POINT (106.784676 10.894513)",Point 682,10.894513,106.784676
"POINT (106.78157 10.891643)",Point 683,10.891643,106.78157
"POINT (106.7820205688 10.8895902634)",Point 684,10.8895902634,106.7820205688
"POINT (106.77213 10.899015)",Point 685,10.899015,106.77213
"POINT (106.782166 10.895551)",Point 686,10.895551,106.782166
"POINT (106.7884902954 10.8939390182)",Point 687,10.8939390182,106.7884902954
"POINT (106.8004 10.878444)",Point 688,10.878444,106.8004
"POINT (106.77673 10.897464)",Point 689,10.897464,106.77673
"POINT (106.77783 10.893625)",Point 690,10.893625,106.77783
"POINT (106.78512 10.88546)",Point 691,10.88546,106.78512
"POINT (106.7999649048 10.8734874725)",Point 692,10.8734874725,106.7999649048
