WKT,Name,Latitude,Longitude
"POINT (106.79847 10.8682575)",Point 280,10.8682575,106.79847
"POINT (106.76604 10.861247)",Point 281,10.861247,106.76604
"POINT (106.62796 10.859338)",Point 282,10.859338,106.62796
"POINT (106.7838 10.863689)",Point 283,10.863689,106.7838
"POINT (106.79062 10.871568)",Point 284,10.871568,106.79062
"POINT (106.781395 10.859057)",Point 285,10.859057,106.781395
"POINT (106.76788 10.858677)",Point 286,10.858677,106.76788
"POINT (106.78214 10.8610325)",Point 287,10.8610325,106.78214
"POINT (106.76455 10.872632)",Point 288,10.872632,106.76455
"POINT (106.7722 10.857943)",Point 289,10.857943,106.7722
"POINT (106.791336 10.862715)",Point 290,10.862715,106.791336
"POINT (106.79145 10.861113)",Point 291,10.861113,106.79145
"POINT (106.77957 10.860535)",Point 292,10.860535,106.77957
"POINT (106.78956 10.862331)",Point 293,10.862331,106.78956
"POINT (106.77525 10.856647)",Point 294,10.856647,106.77525
"POINT (106.771996 10.854834)",Point 295,10.854834,106.771996
"POINT (106.78394 10.863808)",Point 296,10.863808,106.78394
"POINT (106.7619 10.864291)",Point 297,10.864291,106.7619
"POINT (106.77225 10.860748)",Point 298,10.860748,106.77225
"POINT (106.76383 10.872309)",Point 299,10.872309,106.76383
"POINT (106.767334 10.858044)",Point 300,10.858044,106.767334
"POINT (106.780075 10.859742)",Point 301,10.859742,106.780075
"POINT (106.789276 10.864753)",Point 302,10.864753,106.789276
"POINT (106.76979 10.860525)",Point 303,10.860525,106.76979
"POINT (106.78142 10.882537)",Point 304,10.882537,106.78142
"POINT (106.78389 10.860643)",Point 305,10.860643,106.78389
"POINT (106.7889 10.861614)",Point 306,10.861614,106.7889
"POINT (106.774055481 10.8558921814)",Point 307,10.8558921814,106.774055481
"POINT (106.79078 10.862834)",Point 308,10.862834,106.79078
"POINT (106.786804 10.859032)",Point 309,10.859032,106.786804
"POINT (106.79147 10.862552)",Point 310,10.862552,106.79147
"POINT (106.79183 10.871358)",Point 311,10.871358,106.79183
"POINT (106.79007 10.865668)",Point 312,10.865668,106.79007
"POINT (106.76459 10.872719)",Point 313,10.872719,106.76459
"POINT (106.783875 10.8606825)",Point 314,10.8606825,106.783875
"POINT (106.799515 10.87246)",Point 315,10.87246,106.799515
"POINT (106.78154 10.8607645)",Point 316,10.8607645,106.78154
"POINT (106.792098999 10.8643341064)",Point 317,10.8643341064,106.792098999
"POINT (106.7796 10.860849)",Point 318,10.860849,106.7796
"POINT (106.77939 10.860056)",Point 319,10.860056,106.77939
"POINT (106.78202 10.8650675)",Point 320,10.8650675,106.78202
"POINT (106.787346 10.8595)",Point 321,10.8595,106.787346
"POINT (106.8011 10.87142)",Point 322,10.87142,106.8011
"POINT (106.7879104614 10.8613138199)",Point 323,10.8613138199,106.7879104614
"POINT (106.78208 10.860992)",Point 324,10.860992,106.78208
"POINT (106.79023 10.870488)",Point 325,10.870488,106.79023
"POINT (106.791725 10.871339)",Point 326,10.871339,106.791725
"POINT (106.77944 10.8586235)",Point 327,10.8586235,106.77944
"POINT (106.77525 10.856647)",Point 328,10.856647,106.77525
"POINT (106.79047 10.871249)",Point 329,10.871249,106.79047
"POINT (106.78377 10.8667345)",Point 330,10.8667345,106.78377
"POINT (106.77221 10.855827)",Point 331,10.855827,106.77221
"POINT (106.799065 10.871631)",Point 332,10.871631,106.799065
"POINT (106.799866 10.872429)",Point 333,10.872429,106.799866
"POINT (106.78613 10.861406)",Point 334,10.861406,106.78613
"POINT (106.8025436401 10.8678073883)",Point 335,10.8678073883,106.8025436401
"POINT (106.76476 10.870448)",Point 336,10.870448,106.76476
"POINT (106.7629 10.859916)",Point 337,10.859916,106.7629
"POINT (106.79067 10.865602)",Point 338,10.865602,106.79067
"POINT (106.77938 10.864802)",Point 339,10.864802,106.77938
"POINT (106.76632 10.858982)",Point 340,10.858982,106.76632
"POINT (106.789825 10.863831)",Point 341,10.863831,106.789825
"POINT (106.7992935181 10.8668079376)",Point 342,10.8668079376,106.7992935181
"POINT (106.7901 10.860515)",Point 343,10.860515,106.7901
"POINT (106.79177 10.871379)",Point 344,10.871379,106.79177
"POINT (106.77222 10.857795)",Point 345,10.857795,106.77222
"POINT (106.76525 10.861925)",Point 346,10.861925,106.76525
"POINT (106.76405 10.871876)",Point 347,10.871876,106.76405
"POINT (106.7729034424 10.8593225479)",Point 348,10.8593225479,106.7729034424
"POINT (106.76453 10.854973)",Point 349,10.854973,106.76453
"POINT (106.78063 10.860454)",Point 350,10.860454,106.78063
"POINT (106.79853 10.868603)",Point 351,10.868603,106.79853
"POINT (106.7616424561 10.8613462448)",Point 352,10.8613462448,106.7616424561
"POINT (106.7899093628 10.8615226746)",Point 353,10.8615226746,106.7899093628
"POINT (106.78742 10.866183)",Point 354,10.866183,106.78742
"POINT (106.76376 10.87331)",Point 355,10.87331,106.76376
"POINT (106.79845 10.868534)",Point 356,10.868534,106.79845
"POINT (106.7666 10.858436)",Point 357,10.858436,106.7666
"POINT (106.77239 10.857665)",Point 358,10.857665,106.77239
"POINT (106.765045 10.871195)",Point 359,10.871195,106.765045
"POINT (106.76478 10.861243)",Point 360,10.861243,106.76478
"POINT (106.78942 10.864057)",Point 361,10.864057,106.78942
"POINT (106.790146 10.865547)",Point 362,10.865547,106.790146
"POINT (106.765854 10.8626375)",Point 363,10.8626375,106.765854
"POINT (106.78735 10.858914)",Point 364,10.858914,106.78735
"POINT (106.76448 10.868913)",Point 365,10.868913,106.76448
"POINT (106.768616 10.857017)",Point 366,10.857017,106.768616
"POINT (106.79049 10.871247)",Point 367,10.871247,106.79049
"POINT (106.789635 10.8664)",Point 368,10.8664,106.789635
"POINT (106.77949 10.860234)",Point 369,10.860234,106.77949
"POINT (106.768745 10.856382)",Point 370,10.856382,106.768745
"POINT (106.782036 10.865028)",Point 371,10.865028,106.782036
"POINT (106.78721 10.861068)",Point 372,10.861068,106.78721
"POINT (106.7821 10.860908)",Point 373,10.860908,106.7821
"POINT (106.76979 10.854898)",Point 374,10.854898,106.76979
"POINT (106.79185 10.865596)",Point 375,10.865596,106.79185
"POINT (106.770096 10.86102)",Point 376,10.86102,106.770096
"POINT (106.78844 10.869253)",Point 377,10.869253,106.78844
"POINT (106.7619 10.87252)",Point 378,10.87252,106.7619
"POINT (106.7889 10.86035)",Point 379,10.86035,106.7889
"POINT (106.792915 10.862402)",Point 380,10.862402,106.792915
"POINT (106.767525 10.85758)",Point 381,10.85758,106.767525
"POINT (106.77527 10.859347)",Point 382,10.859347,106.77527
"POINT (106.781494 10.860933)",Point 383,10.860933,106.781494
"POINT (106.77261 10.857566)",Point 384,10.857566,106.77261
"POINT (106.7617263794 10.86140728)",Point 385,10.86140728,106.7617263794
"POINT (106.772194 10.857953)",Point 386,10.857953,106.772194
"POINT (106.79101 10.862453)",Point 387,10.862453,106.79101
"POINT (106.78197 10.867245)",Point 388,10.867245,106.78197
"POINT (106.791245 10.8668585)",Point 389,10.8668585,106.791245
"POINT (106.765686 10.857373)",Point 390,10.857373,106.765686
"POINT (106.78211 10.860992)",Point 391,10.860992,106.78211
"POINT (106.76531 10.85774)",Point 392,10.85774,106.76531
"POINT (106.76367 10.873241)",Point 393,10.873241,106.76367
"POINT (106.791466 10.861125)",Point 394,10.861125,106.791466
"POINT (106.7814 10.882179)",Point 395,10.882179,106.7814
"POINT (106.7919 10.871408)",Point 396,10.871408,106.7919
"POINT (106.7631 10.87174)",Point 397,10.87174,106.7631
"POINT (106.766785 10.862726)",Point 398,10.862726,106.766785
"POINT (106.76509 10.85728)",Point 399,10.85728,106.76509
"POINT (106.78594 10.860817)",Point 400,10.860817,106.78594
"POINT (106.79005 10.86266)",Point 401,10.86266,106.79005
"POINT (106.76205 10.864354)",Point 402,10.864354,106.76205
"POINT (106.800316 10.876329)",Point 403,10.876329,106.800316
"POINT (106.79004 10.866314)",Point 404,10.866314,106.79004
"POINT (106.773186 10.857469)",Point 405,10.857469,106.773186
"POINT (106.7741 10.859206)",Point 406,10.859206,106.7741
"POINT (106.80456 10.869548)",Point 407,10.869548,106.80456
"POINT (106.768265 10.855639)",Point 408,10.855639,106.768265
"POINT (106.76428 10.857349)",Point 409,10.857349,106.76428
"POINT (106.83625 10.970926)",Point 410,10.970926,106.83625
"POINT (106.7646 10.861102)",Point 411,10.861102,106.7646
"POINT (106.77596 10.856336)",Point 412,10.856336,106.77596
"POINT (106.76634 10.857714)",Point 413,10.857714,106.76634
"POINT (106.79033 10.867706)",Point 414,10.867706,106.79033
"POINT (106.78636 10.861688)",Point 415,10.861688,106.78636
"POINT (106.80015 10.867251)",Point 416,10.867251,106.80015
"POINT (106.7848 10.866545)",Point 417,10.866545,106.7848
"POINT (106.764854 10.861866)",Point 418,10.861866,106.764854
"POINT (106.78262 10.86114)",Point 419,10.86114,106.78262
"POINT (106.77414 10.856866)",Point 420,10.856866,106.77414
"POINT (106.77328 10.85815)",Point 421,10.85815,106.77328
"POINT (106.76272 10.868584)",Point 422,10.868584,106.76272
"POINT (106.78738 10.859418)",Point 423,10.859418,106.78738
"POINT (106.765785 10.861632)",Point 424,10.861632,106.765785
"POINT (106.7617645264 10.864115715)",Point 425,10.864115715,106.7617645264
"POINT (106.76833 10.857833)",Point 426,10.857833,106.76833
"POINT (106.78725 10.858966)",Point 427,10.858966,106.78725
"POINT (106.77157 10.856511)",Point 428,10.856511,106.77157
"POINT (106.76473 10.862043)",Point 429,10.862043,106.76473
"POINT (106.791824 10.871404)",Point 430,10.871404,106.791824
"POINT (106.7899093628 10.8614749908)",Point 431,10.8614749908,106.7899093628
"POINT (106.78935 10.864574)",Point 432,10.864574,106.78935
"POINT (106.7832 10.863706)",Point 433,10.863706,106.7832
"POINT (106.7632446289 10.8714723587)",Point 434,10.8714723587,106.7632446289
"POINT (106.77278 10.854405)",Point 435,10.854405,106.77278
"POINT (106.799255 10.868144)",Point 436,10.868144,106.799255
"POINT (106.772354 10.859468)",Point 437,10.859468,106.772354
,Point 438,,
"POINT (106.775604 10.856824)",Point 439,10.856824,106.775604
"POINT (106.76604 10.861247)",Point 440,10.861247,106.76604
"POINT (106.77803 10.861165)",Point 441,10.861165,106.77803
