WKT,Name,Latitude,Longitude
"POINT (106.77707 10.880018)",Point 136,10.880018,106.77707
"POINT (106.768776 10.883451)",Point 137,10.883451,106.768776
"POINT (106.75724 10.871231)",Point 138,10.871231,106.75724
"POINT (106.77867 10.870662)",Point 139,10.870662,106.77867
"POINT (106.77003 10.873833)",Point 140,10.873833,106.77003
"POINT (106.774895 10.881932)",Point 141,10.881932,106.774895
"POINT (106.766746521 10.8734922409)",Point 142,10.8734922409,106.766746521
"POINT (106.764496 10.878709)",Point 143,10.878709,106.764496
"POINT (106.77541 10.874922)",Point 144,10.874922,106.77541
"POINT (106.77525 10.876058)",Point 145,10.876058,106.77525
"POINT (106.7677764893 10.8849201202)",Point 146,10.8849201202,106.7677764893
"POINT (106.77464 10.880277)",Point 147,10.880277,106.77464
"POINT (106.77772 10.874105)",Point 148,10.874105,106.77772
"POINT (106.7675 10.881517)",Point 149,10.881517,106.7675
"POINT (106.7671 10.88959)",Point 150,10.88959,106.7671
"POINT (106.77714 10.877619)",Point 151,10.877619,106.77714
"POINT (106.765724 10.875549)",Point 152,10.875549,106.765724
"POINT (106.7633132935 10.8814382553)",Point 153,10.8814382553,106.7633132935
"POINT (106.77749 10.877307)",Point 154,10.877307,106.77749
"POINT (106.76889 10.889799)",Point 155,10.889799,106.76889
"POINT (106.7681503296 10.8824644089)",Point 156,10.8824644089,106.7681503296
"POINT (106.76789 10.885846)",Point 157,10.885846,106.76789
"POINT (106.7712 10.877646)",Point 158,10.877646,106.7712
"POINT (106.78215 10.883378)",Point 159,10.883378,106.78215
"POINT (106.77449 10.87877)",Point 160,10.87877,106.77449
"POINT (106.769356 10.885584)",Point 161,10.885584,106.769356
"POINT (106.76954 10.886284)",Point 162,10.886284,106.76954
"POINT (106.76822 10.878325)",Point 163,10.878325,106.76822
"POINT (106.77406 10.877754)",Point 164,10.877754,106.77406
"POINT (106.7680511475 10.8898067474)",Point 165,10.8898067474,106.7680511475
"POINT (106.77599 10.876357)",Point 166,10.876357,106.77599
"POINT (106.76633 10.878032)",Point 167,10.878032,106.76633
"POINT (106.7642 10.880963)",Point 168,10.880963,106.7642
"POINT (106.7630081177 10.882390976)",Point 169,10.882390976,106.7630081177
"POINT (106.7728 10.881902)",Point 170,10.881902,106.7728
"POINT (106.777214 10.879903)",Point 171,10.879903,106.777214
"POINT (0.0 0.0)",Point 172,0.0,0.0
"POINT (106.7666091919 10.8785829544)",Point 173,10.8785829544,106.7666091919
"POINT (106.765724 10.875123)",Point 174,10.875123,106.765724
"POINT (106.77853 10.870277)",Point 175,10.870277,106.77853
"POINT (106.75793 10.876344)",Point 176,10.876344,106.75793
"POINT (106.777626 10.875806)",Point 177,10.875806,106.777626
"POINT (106.7652893066 10.8751478195)",Point 178,10.8751478195,106.7652893066
"POINT (106.75909 10.904753)",Point 179,10.904753,106.75909
"POINT (106.771774 10.879667)",Point 180,10.879667,106.771774
"POINT (106.76993 10.839237)",Point 181,10.839237,106.76993
"POINT (106.77485 10.877259)",Point 182,10.877259,106.77485
"POINT (106.764496 10.87602)",Point 183,10.87602,106.764496
"POINT (106.7702713013 10.8728885651)",Point 184,10.8728885651,106.7702713013
"POINT (106.7772140503 10.8797683716)",Point 185,10.8797683716,106.7772140503
"POINT (106.76984 10.876243)",Point 186,10.876243,106.76984
"POINT (106.77788 10.876698)",Point 187,10.876698,106.77788
"POINT (106.768616 10.884262)",Point 188,10.884262,106.768616
"POINT (106.774124 10.884445)",Point 189,10.884445,106.774124
,Point 190,,
"POINT (106.767715 10.890301)",Point 191,10.890301,106.767715
"POINT (106.77099 10.879235)",Point 192,10.879235,106.77099
"POINT (106.77559 10.8767395)",Point 193,10.8767395,106.77559
"POINT (106.7667 10.876588)",Point 194,10.876588,106.7667
"POINT (106.77127 10.877888)",Point 195,10.877888,106.77127
"POINT (106.77225 10.886326)",Point 196,10.886326,106.77225
"POINT (106.7679 10.885837)",Point 197,10.885837,106.7679
"POINT (106.777145 10.877374)",Point 198,10.877374,106.777145
"POINT (106.777084 10.873654)",Point 199,10.873654,106.777084
"POINT (106.75742 10.90296)",Point 200,10.90296,106.75742
"POINT (106.7656326294 10.8785638809)",Point 201,10.8785638809,106.7656326294
"POINT (106.7702178955 10.8780450821)",Point 202,10.8780450821,106.7702178955
"POINT (106.7665023804 10.8751907349)",Point 203,10.8751907349,106.7665023804
"POINT (106.77415 10.878154)",Point 204,10.878154,106.77415
"POINT (106.7641220093 10.8812036514)",Point 205,10.8812036514,106.7641220093
"POINT (106.764915 10.886596)",Point 206,10.886596,106.764915
"POINT (106.76788 10.888939)",Point 207,10.888939,106.76788
"POINT (106.7790298462 10.8770618439)",Point 208,10.8770618439,106.7790298462
"POINT (106.76893 10.88713)",Point 209,10.88713,106.76893
