grid_id,grid_size_m,grid_area_km2,longitude_epsg4326,latitude_epsg4326,x_epsg32648,y_epsg32648,local_household_proxy_count,density_ratio_to_vnu_max,grid_population_density,grid_population
84.0,100,0.01003883639738643,106.77094127146714,10.873419765101396,693575.326897266,1202547.9216719347,356.0,0.6278659611992945,11992.8539048247,120.39429828829218
85.0,100,0.010038835612149404,106.7709466055918,10.874323738389513,693575.3268677741,1202647.9216608992,449.0,0.7918871252204586,15120.593829399693,151.79315581142416
86.0,100,0.010038834826815982,106.77095194052133,10.875227711878642,693575.3268747019,1202747.9216784702,505.0,0.890652557319224,17003.96410656313,170.69998706689483
87.0,100,0.010038834041612184,106.77095727587012,10.87613168473082,693575.3268764284,1202847.9216317078,544.0,0.9594356261022927,18315.596978159094,183.86723843679277
88.0,100,0.0100388332563009,106.77096261162144,10.877035658740523,693575.326869966,1202947.921719105,546.0,0.9629629629629629,18382.8602023435,184.54246834521624
89.0,100,0.010038832470784015,106.77096794776855,10.877939631144448,693575.326856361,1203047.9216349842,500.0,0.8818342151675485,16835.80604610211,169.0118364074317
90.0,100,0.010038831685338985,106.77097328459915,10.878843604672836,693575.3268653044,1203147.9216815464,473.0,0.8342151675485009,15927.752519612593,159.89602667012477
91.0,100,0.010038830899744128,106.77097862204629,10.87974757775533,693575.3268904907,1203247.921685037,441.0,0.7777777777777778,14851.54093266206,149.09210802362261
92.0,100,0.010038830114051383,106.77098395985705,10.880651550525105,693575.3269041786,1203347.921660028,415.0,0.7319223985890653,13977.11901826475,140.31392330823647
93.0,100,0.010038829328468923,106.7709892977534,10.88155552352166,693575.3268756232,1203447.92166602,345.0,0.6084656084656085,11622.906171810455,116.68037135961325
94.0,100,0.010038828542715575,106.77099463611358,10.882459496641586,693575.326846242,1203547.9216918172,249.0,0.43915343915343913,8394.271410958849,84.26865143563504
95.0,100,0.010038827756989471,106.77099997536949,10.883363468981837,693575.3268638417,1203647.9216378008,213.0,0.37566137566137564,7183.5333756394975,72.11425424463006
96.0,100,0.010038826971046242,106.77100531540155,10.884267442229254,693575.3269142578,1203747.921690492,186.0,0.328042328042328,6275.479849149984,62.99845636590407
97.0,100,0.005965217351496361,106.77114908228634,10.885062707616186,693590.5319967512,1203835.9849646464,132.0,0.2328042328042328,4459.3727961709565,26.601127980509833
98.0,100,1.1617190879556796E-4,106.77142543757903,10.885667796547143,693620.3563182044,1203903.095787646,91.0,0.16049382716049382,3080.4767003905836,0.357864858284647
99.0,100,1.410758619850104E-4,106.7722027609851,10.870220255786547,693715.3224245541,1202194.7998553563,123.0,0.21693121693121692,4156.688287341119,0.5864083831396448
100.0,100,0.00927167293150608,106.77186018900066,10.870734409332332,693677.5337097382,1202251.456462999,143.0,0.25220458553791886,4829.320529185203,44.77588042801307
101.0,100,0.010038828351128574,106.77184515353908,10.871606545516498,693675.3268682322,1202347.9217001856,167.0,0.2945326278659612,5636.479219398104,56.583647388240735
102.0,100,0.010038827566064916,106.77185048957843,10.872510518448427,693675.3268501633,1202447.92168714,232.0,0.4091710758377425,7822.534005391378,78.52907000980316
103.0,100,0.010038826780948484,106.77185582607838,10.873414490890399,693675.3268312949,1202547.9216260463,313.0,0.5520282186948854,10546.69458485992,105.87644004897612
104.0,100,0.010038825995840026,106.77186116343728,10.874318464497017,693675.3268541119,1202647.9217001898,404.0,0.7125220458553791,13607.171285250502,136.60002482822068
105.0,100,0.010038825210691186,106.77186650118487,10.875222437018195,693675.3268686485,1202747.9216603688,465.0,0.8201058201058201,15658.699622874961,157.19494854075774
106.0,100,0.010038824425308826,106.77187183959802,10.876126409678276,693675.326904387,1202847.921642196,516.0,0.91005291005291,17373.911839577373,174.41365053831154
107.0,100,0.010038823639910892,106.77187717826017,10.87703038308913,693675.3269153849,1202947.9217130903,481.0,0.8483245149911817,16196.805416350227,162.59687310469346
108.0,100,0.01003882285452414,106.77188251719815,10.877934355349247,693675.3269058033,1203047.9216627264,475.0,0.8377425044091711,15995.015743797003,160.5711296073028
109.0,100,0.010038822069042845,106.7718878567637,10.878838328072,693675.3269130584,1203147.9216697991,483.0,0.8518518518518519,16264.068640534637,163.27209120102677
110.0,100,0.010038821283547767,106.77189319620899,10.879742300636147,693675.3268557845,1203247.92166511,445.0,0.7848324514991182,14986.067381030876,150.4424521813737
111.0,100,0.010038820497863565,106.77189853661493,10.880646273406049,693675.3268519281,1203347.9216896547,415.0,0.7319223985890653,13977.11901826475,140.31378890163484
112.0,100,0.01003881971222453,106.77190387773236,10.881550245365718,693675.3268749047,1203447.9216308878,341.0,0.6014109347442681,11488.379723441638,115.32977282920652
113.0,100,0.010038818926416488,106.7719092190087,10.882454218303911,693675.3268631398,1203547.921686327,289.0,0.5097001763668431,9739.535894647019,97.77343727369524
114.0,100,0.010038818140651464,106.77191456067453,10.8833581902749,693675.3268430987,1203647.9216408853,244.0,0.43033509700176364,8226.113350497828,82.58045593003278
115.0,100,0.010038817354862927,106.77191990276563,10.884262163242452,693675.3268174251,1203747.9217118167,194.0,0.3421516754850088,6544.532745887617,65.69936890888535
116.0,100,0.01003881656893605,106.77192524607227,10.885166135028186,693675.3268739306,1203847.9216586554,159.0,0.2804232804232804,5367.42632266047,53.88260830046742
117.0,100,0.006597774377686892,106.77203945110853,10.88596650475612,693687.2961782556,1203936.5307860756,91.0,0.16049382716049382,3080.4767003905836,20.324290244898453
118.0,100,1.5808967369597808E-4,106.77232908020291,10.88656688279274,693718.574520347,1204003.1291118518,75.0,0.13227513227513227,2542.370906915316,0.4019225870883902
119.0,100,0.002506298225549041,106.77284619207828,10.870117229188422,693785.7418813546,1202183.8137338385,123.0,0.21693121693121692,4156.688287341119,10.417900478723528
120.0,100,0.010038819515225905,106.77275436429566,10.87069729684986,693775.3268681846,1202247.921657055,133.0,0.2345679012345679,4493.00440826316,45.10446033566823
