grid_id,grid_size_m,grid_area_km2,longitude_epsg4326,latitude_epsg4326,x_epsg32648,y_epsg32648,grid_population_density,grid_population
128,25,0.00063,106.7658162,10.87672629,693012.8268,1202910.422,12044.47682,7.557071775
129,25,0.00063,106.7658175,10.87695229,693012.8268,1202935.422,11766.45423,7.382631788
130,25,0.00063,106.7658188,10.87717828,693012.8268,1202960.422,11766.45423,7.382631644
131,25,0.00063,106.7658202,10.87740427,693012.8269,1202985.422,11453.67883,7.186386689
132,25,0.00063,106.7658215,10.87763027,693012.8269,1203010.422,11384.17318,7.142776591
133,25,0.00063,106.7658228,10.87785626,693012.8268,1203035.422,11106.15059,6.968336626
134,25,0.00063,106.7658242,10.87808225,693012.8269,1203060.422,10689.11672,6.706676758
135,25,0.00063,106.7658255,10.87830825,693012.8269,1203085.422,10341.58848,6.488626854
136,25,0.00063,106.7658268,10.87853424,693012.827,1203110.422,10237.33001,6.423211797
137,25,0.00059,106.7658343,10.87875567,693013.4997,1203134.92,9716.037667,5.735086873
138,25,0.00037,106.7658746,10.878973,693017.7674,1203158.987,9194.745319,3.356343423
139,25,0.00011,106.7659158,10.87917044,693022.1478,1203180.854,8325.92474,0.94835619
140,25,0.00030,106.7660346,10.87248726,693039.4409,1202441.644,10723.86954,3.218095135
141,25,0.00063,106.7660209,10.87265709,693037.827,1202460.422,10967.1393,6.881118166
142,25,0.00063,106.7660222,10.87288308,693037.8269,1202485.422,10932.38648,6.859313049
143,25,0.00063,106.7660235,10.87310907,693037.8269,1202510.422,11106.15059,6.968337825
144,25,0.00063,106.7660249,10.87333507,693037.8269,1202535.421,11523.18447,7.229997465
145,25,0.00063,106.7660262,10.87356106,693037.8268,1202560.422,11696.94859,7.339022229
146,25,0.00063,106.7660275,10.87378706,693037.8268,1202585.422,11974.97117,7.51346193
147,25,0.00063,106.7660289,10.87401305,693037.8269,1202610.422,12183.48811,7.644291665
148,25,0.00063,106.7660302,10.87423904,693037.8269,1202635.422,13121.81434,8.233025968
149,25,0.00063,106.7660315,10.87446504,693037.8269,1202660.422,13434.58975,8.429270621
150,25,0.00063,106.7660328,10.87469103,693037.8269,1202685.422,13504.09539,8.472880414
151,25,0.00063,106.7660342,10.87491702,693037.8269,1202710.421,13399.83692,8.407465313
152,25,0.00063,106.7660355,10.87514302,693037.827,1202735.422,13434.58975,8.429270126
153,25,0.00063,106.7660368,10.87536902,693037.827,1202760.422,13573.60104,8.516489872
154,25,0.00063,106.7660382,10.87559501,693037.8269,1202785.422,13365.0841,8.385659842
155,25,0.00063,106.7660395,10.875821,693037.8268,1202810.422,13191.31999,8.276634794
156,25,0.00063,106.7660408,10.87604699,693037.8269,1202835.422,13191.31999,8.276634632
157,25,0.00063,106.7660422,10.87627299,693037.8269,1202860.422,13156.56716,8.254829494
158,25,0.00063,106.7660435,10.87649898,693037.8268,1202885.422,12982.80305,8.145804455
159,25,0.00063,106.7660448,10.87672498,693037.8268,1202910.422,12913.2974,8.102194346
160,25,0.00063,106.7660461,10.87695097,693037.827,1202935.422,12496.26352,7.840534492
161,25,0.00063,106.7660475,10.87717696,693037.827,1202960.422,12322.49941,7.731509468
162,25,0.00063,106.7660488,10.87740296,693037.8269,1202985.422,12252.99376,7.68789937
163,25,0.00063,106.7660501,10.87762895,693037.8268,1203010.422,11870.7127,7.448044512
164,25,0.00063,106.7660515,10.87785495,693037.8269,1203035.422,11627.44294,7.295409556
165,25,0.00063,106.7660528,10.87808094,693037.8269,1203060.422,11418.926,7.164579579
166,25,0.00063,106.7660541,10.87830693,693037.8269,1203085.422,10689.11672,6.706675026
167,25,0.00063,106.7660555,10.87853293,693037.8269,1203110.422,10584.85825,6.641259979
168,25,0.00063,106.7660568,10.87875892,693037.8268,1203135.422,9959.307429,6.248770368
169,25,0.00063,106.7660581,10.87898492,693037.8268,1203160.422,9368.509435,5.878085742
170,25,0.00063,106.7660595,10.87921086,693037.8328,1203185.416,8812.464264,5.526642481
171,25,0.00048,106.7660849,10.87942441,693040.4734,1203209.055,7908.890862,3.772055694
172,25,0.00007,106.7661424,10.87958723,693046.6524,1203227.102,7179.081575,0.498128778
173,25,0.00000,106.7663549,10.87231372,693074.5653,1202422.652,10758.62236,0.010576056
174,25,0.00053,106.7662564,10.87244554,693063.7165,1202437.17,11036.64495,5.866923347
175,25,0.00063,106.7662495,10.87265577,693062.8269,1202460.422,11245.16189,7.055556344
176,25,0.00063,106.7662508,10.87288177,693062.8268,1202485.422,11349.42036,7.120971137
177,25,0.00063,106.7662522,10.87310776,693062.8267,1202510.422,11523.18447,7.229995881
178,25,0.00063,106.7662535,10.87333375,693062.8268,1202535.422,11974.97117,7.513460431
179,25,0.00063,106.7662548,10.87355975,693062.8269,1202560.422,12392.00505,7.775119993
180,25,0.00063,106.7662562,10.87378574,693062.8269,1202585.422,12357.25223,7.753314866
181,25,0.00063,106.7662575,10.87401173,693062.8269,1202610.422,12843.79175,8.058584363
182,25,0.00063,106.7662588,10.87423773,693062.8269,1202635.422,13608.35386,8.538293645
183,25,0.00063,106.7662602,10.87446373,693062.8269,1202660.422,13851.62363,8.690928297
184,25,0.00063,106.7662615,10.87468972,693062.8269,1202685.422,14129.64621,8.865367916
185,25,0.00063,106.7662628,10.87491571,693062.8269,1202710.421,14199.15186,8.908977689
186,25,0.00063,106.7662641,10.87514171,693062.8269,1202735.422,14199.15186,8.908977515
187,25,0.00063,106.7662655,10.8753677,693062.8269,1202760.422,13921.12927,8.734537562
188,25,0.00063,106.7662668,10.87559369,693062.8269,1202785.422,14060.14056,8.821757279
189,25,0.00063,106.7662681,10.87581969,693062.8268,1202810.422,13990.63492,8.778147164
190,25,0.00063,106.7662695,10.87604568,693062.8268,1202835.422,13886.37645,8.712732079
191,25,0.00063,106.7662708,10.87627167,693062.8269,1202860.422,13747.36516,8.625512025
192,25,0.00063,106.7662721,10.87649767,693062.8271,1202885.422,13608.35386,8.538291976
193,25,0.00063,106.7662735,10.87672366,693062.827,1202910.422,13330.33128,8.36385205
194,25,0.00063,106.7662748,10.87694966,693062.8268,1202935.422,13156.56716,8.25482704
195,25,0.00063,106.7662761,10.87717565,693062.8268,1202960.422,12739.53328,7.99316725
196,25,0.00063,106.7662774,10.87740164,693062.8268,1202985.422,12357.25223,7.75331244
197,25,0.00063,106.7662788,10.87762764,693062.8269,1203010.422,12218.24094,7.666092415
198,25,0.00063,106.7662801,10.87785363,693062.827,1203035.422,11801.20706,7.404432653
199,25,0.00063,106.7662814,10.87807963,693062.8269,1203060.422,11696.94859,7.339017606
200,25,0.00063,106.7662828,10.87830562,693062.8269,1203085.422,11279.91471,7.077357861
201,25,0.00063,106.7662841,10.87853161,693062.8268,1203110.422,11036.64495,6.924722957
202,25,0.00063,106.7662854,10.87875761,693062.8269,1203135.422,10376.34131,6.510428468
203,25,0.00063,106.7662868,10.8789836,693062.827,1203160.422,9959.307429,6.248768754
204,25,0.00063,106.7662881,10.87920959,693062.8269,1203185.422,9055.734027,5.681839538
205,25,0.00063,106.7662894,10.87943559,693062.8268,1203210.422,8499.688856,5.332959991
206,25,0.00056,106.7663006,10.87965228,693063.9113,1203234.399,7318.092868,4.090344889
207,25,0.00011,106.7663632,10.87982233,693070.6439,1203253.249,7248.587221,0.816851457
208,25,0.00014,106.7665082,10.87228461,693091.3464,1202419.529,11210.40906,1.542778017
209,25,0.00063,106.7664768,10.87242846,693087.8268,1202435.422,11384.17318,7.142774687
210,25,0.00063,106.7664782,10.87265446,693087.8268,1202460.422,11592.69012,7.273604381
211,25,0.00063,106.7664795,10.87288045,693087.8269,1202485.422,11731.70141,7.360824127
212,25,0.00063,106.7664808,10.87310644,693087.827,1202510.422,12148.73529,7.62248364
213,25,0.00063,106.7664821,10.87333244,693087.8269,1202535.422,12496.26352,7.840533202
214,25,0.00063,106.7664835,10.87355843,693087.8271,1202560.422,12670.02764,7.949557901
215,25,0.00063,106.7664848,10.87378443,693087.8269,1202585.422,13087.06152,8.211217388
216,25,0.00063,106.7664861,10.87401042,693087.8268,1202610.422,13469.34257,8.451071894
217,25,0.00063,106.7664875,10.87423641,693087.8269,1202635.422,14094.89339,8.843561177
218,25,0.00063,106.7664888,10.87446241,693087.8269,1202660.422,14546.68009,9.1270256
219,25,0.00063,106.7664901,10.8746884,693087.8269,1202685.422,14685.69138,9.214245295
220,25,0.00063,106.7664915,10.8749144,693087.8269,1202710.422,14859.4555,9.323269955
221,25,0.00063,106.7664928,10.87514039,693087.8269,1202735.422,14720.4442,9.236049903
222,25,0.00063,106.7664941,10.87536639,693087.8268,1202760.422,14859.4555,9.323269591
223,25,0.00063,106.7664954,10.87559238,693087.8268,1202785.422,14789.94985,9.279659475
224,25,0.00063,106.7664968,10.87581837,693087.827,1202810.422,14581.43291,9.148829496
225,25,0.00063,106.7664981,10.87604437,693087.827,1202835.422,14477.17444,9.083414419
226,25,0.00063,106.7664994,10.87627036,693087.8268,1202860.422,14199.15186,8.908974517
227,25,0.00063,106.7665008,10.87649635,693087.8268,1202885.422,14233.90468,8.930779308
228,25,0.00063,106.7665021,10.87672235,693087.8269,1202910.422,13816.8708,8.669119558
229,25,0.00063,106.7665034,10.87694834,693087.8269,1202935.422,13469.34257,8.451069746
230,25,0.00063,106.7665048,10.87717433,693087.827,1202960.422,13365.0841,8.385654689
231,25,0.00063,106.7665061,10.87740033,693087.827,1202985.422,12878.54458,8.080385039
232,25,0.00063,106.7665074,10.87762632,693087.827,1203010.422,12426.75788,7.796920363
233,25,0.00063,106.7665088,10.87785232,693087.8269,1203035.422,12079.22964,7.578870585
234,25,0.00063,106.7665101,10.87807831,693087.8268,1203060.422,11870.7127,7.448040665
235,25,0.00063,106.7665114,10.8783043,693087.8269,1203085.422,11488.43165,7.208185941
236,25,0.00063,106.7665127,10.8785303,693087.827,1203110.422,11418.926,7.164575877
237,25,0.00063,106.7665141,10.87875629,693087.8269,1203135.422,11245.16189,7.055550933
238,25,0.00063,106.7665154,10.87898229,693087.8269,1203160.422,10515.3526,6.597646627
239,25,0.00063,106.7665167,10.87920828,693087.8269,1203185.421,9681.284844,6.07432746
240,25,0.00063,106.7665181,10.87943427,693087.8269,1203210.422,8569.194502,5.376568637
241,25,0.00063,106.7665194,10.87966027,693087.8269,1203235.422,7804.632392,4.896859432
242,25,0.00059,106.7665262,10.87988102,693088.4247,1203259.846,7665.6211,4.534565099
243,25,0.00017,106.766584,10.88005742,693094.6355,1203279.396,7457.10416,1.241203182
244,25,0.00037,106.7667164,10.87224523,693114.1356,1202415.306,11279.91471,4.174716743
245,25,0.00063,106.7667055,10.87242715,693112.8269,1202435.422,11384.17318,7.142772982
246,25,0.00063,106.7667068,10.87265314,693112.827,1202460.422,11696.94859,7.339017546
247,25,0.00063,106.7667081,10.87287914,693112.8269,1202485.422,11835.95988,7.426237269
248,25,0.00063,106.7667095,10.87310513,693112.8268,1202510.422,12252.99376,7.687896718
249,25,0.00063,106.7667108,10.87333113,693112.8269,1202535.422,12531.01634,7.862336295
250,25,0.00063,106.7667121,10.87355712,693112.8268,1202560.422,12843.79175,8.058580829
251,25,0.00063,106.7667134,10.87378311,693112.8268,1202585.422,13226.07281,8.298435287
252,25,0.00063,106.7667148,10.87400911,693112.8269,1202610.422,13886.37645,8.712729451
253,25,0.00063,106.7667161,10.8742351,693112.8269,1202635.422,14824.70267,9.301463311
254,25,0.00063,106.7667174,10.87446109,693112.8269,1202660.422,15067.97244,9.454097875
255,25,0.00063,106.7667188,10.87468709,693112.8269,1202685.422,15067.97244,9.45409769
256,25,0.00063,106.7667201,10.87491308,693112.827,1202710.422,15102.72526,9.475902468
257,25,0.00063,106.7667214,10.87513907,693112.8271,1202735.422,15485.00631,9.715756869
258,25,0.00063,106.7667228,10.87536507,693112.827,1202760.422,15658.77043,9.824781489
259,25,0.00063,106.7667241,10.87559106,693112.8268,1202785.422,15380.74785,9.650341605
260,25,0.00063,106.7667254,10.87581706,693112.8268,1202810.422,15311.2422,9.606731494
261,25,0.00063,106.7667267,10.87604305,693112.8267,1202835.421,15033.21961,9.432291619
262,25,0.00063,106.7667281,10.87626904,693112.8268,1202860.422,14824.70267,9.301461674
263,25,0.00063,106.7667294,10.87649504,693112.827,1202885.422,14442.42162,9.061606934
264,25,0.00063,106.7667307,10.87672103,693112.8269,1202910.422,14442.42162,9.061606756
265,25,0.00063,106.7667321,10.87694703,693112.827,1202935.422,13921.12927,8.734532194
266,25,0.00063,106.7667334,10.87717302,693112.8269,1202960.422,13886.37645,8.712727065
267,25,0.00063,106.7667347,10.87739901,693112.8269,1202985.422,13260.82563,8.320237648
268,25,0.00063,106.7667361,10.87762501,693112.8269,1203010.422,12913.2974,8.102187908
269,25,0.00063,106.7667374,10.877851,693112.8269,1203035.422,12531.01634,7.862333219
270,25,0.00063,106.7667387,10.87807699,693112.8269,1203060.422,12392.00505,7.775113238
271,25,0.00063,106.7667401,10.87830299,693112.8268,1203085.422,12113.98247,7.600673435
272,25,0.00063,106.7667414,10.87852898,693112.8269,1203110.422,11835.95988,7.426233638
