original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,average_travel_time_s,average_speed_kmh,assigned_grid_area_km2,assigned_grid_area_m2,Popij,Sij_m,forward_source_link_name
38,10_6,Backward,10,6,10.8762014,106.807517,10.875778,106.8051008,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,439,51.67238843,30.585,0.00756,7560,28.45221548,10.1732162,7_9
39,10_33,Forward,10,33,10.8762014,106.807517,10.8713888,106.8066598,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,People's Security University - Tien Thanh Factory - National Highway 1,650,141,16.59574468,0.01764,17640,47.60068957,13.06548817,
40,10_25,Forward,10,25,10.8762014,106.807517,10.8736134,106.8029052,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,739,119.2255983,22.314,0.03465,34650,124.0792897,35.16764667,
41,11_12,U-turn,11,12,10.877729,106.805858,10.8778558,106.805685,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,133,88,5.440909091,0,0,0,0,
42,11_14,Forward,11,14,10.877729,106.805858,10.879921,106.80729,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",289,82,12.68780488,0.01827,18270,88.27777751,46.15126242,
43,12_11,U-turn,12,11,10.8778558,106.805685,10.877729,106.805858,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,138,66,7.527272727,0,0,0,0,
44,12_3,Forward,12,3,10.8778558,106.805685,10.8766326,106.8024914,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,"International University, VNU-HCM - Creative Square - Linh Trung Ward",474,78,21.87692308,0.01008,10080,20.23872756,11.60324635,
45,12_2,Forward,12,2,10.8778558,106.805685,10.8781307,106.8027517,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",561,104.2266605,19.377,0.00756,7560,10.31128038,5.86224992,
46,12_5,Forward,12,5,10.8778558,106.805685,10.875638,106.804914,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,640,101,22.81188119,0.01008,10080,29.44002287,33.33586858,
47,12_25,Forward,12,25,10.8778558,106.805685,10.8736134,106.8029052,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,800,137.4176925,20.958,0.02079,20790,58.41299601,16.20361105,
48,13_14,U-turn,13,14,10.8801103,106.807183,10.879921,106.80729,"Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",590,177,12,0,0,0,0,
49,13_12,Forward,13,12,10.8801103,106.807183,10.8778558,106.805685,"Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,298,69,15.54782609,0.00567,5670,22.85455003,6.566334307,
50,14_13,U-turn,14,13,10.879921,106.80729,10.8801103,106.807183,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",711,1005,2.546865672,0,0,0,0,
51,14_15,Forward,14,15,10.879921,106.80729,10.880791,106.810634,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward","AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",682,111,22.11891892,0.00504,5040,21.01040193,8.078473907,
52,14_41,Forward,14,41,10.879921,106.80729,10.8873942,106.8047072,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",National Defense and Security Education Center (Nguyen Du Gate) - Opposite Rear Gate - Nguyen Du Street - Binh Chieu Ward,1221,173,25.40809249,0.00315,3150,2.635614775,0.799392033,
53,14_1,Forward,14,1,10.879921,106.80729,10.8771068,106.8028618,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward","International University, VNU-HCM",1687,335.6286267,18.095,0.01386,13860,31.34684357,6.834064185,
