original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,gis_route_distance_km,average_travel_time_s,average_travel_time_min,average_speed_kmh,assigned_grid_count,assigned_grid_area_km2,assigned_grid_area_m2,Popij,assigned_grid_population_total,Sij_m,Sij_km,forward_source_link_name
28,7_9,Forward,7,9,10.8746507,106.8061372,10.8759027,106.8075572,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,233,0.233,43,0.716666667,19.50697674,1,0.010038456,10038.45612,30.92323019,30.92323019,4.616356856,0.004616357,7_9
29,7_33,Forward,7,33,10.8746507,106.8061372,10.8713888,106.8066598,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",People's Security University - Tien Thanh Factory - National Highway 1,527,0.527,73.60335196,1.226722533,25.776,4,0.040153852,40153.85195,86.89354906,86.89354906,49.91635586,0.049916356,7_33
30,8_9,Forward,8,9,10.8743141,106.807054,10.8759027,106.8075572,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,250,0.25,45,0.75,20,0,0,0,0,0,0,0,8_9
31,8_7,U-turn,8,7,10.8743141,106.807054,10.8746507,106.8061372,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",107,0.107,21,0.35,18.34285714,0,0,0,0,0,0,0,
32,8_6,Forward,8,6,10.8743141,106.807054,10.875778,106.8051008,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,291,0.291,27.57277465,0.459546244,37.994,1,0.010038465,10038.46514,27.54716032,27.54716032,53.60846398,0.053608464,8_6
33,8_25,Forward,8,25,10.8743141,106.807054,10.8736134,106.8029052,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,591,0.591,80.78368835,1.346394806,26.337,3,0.0301154,30115.40013,79.94061269,79.94061269,13.10108026,0.01310108,8_25
34,9_10,U-turn,9,10,10.8759027,106.8075572,10.8762014,106.807517,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,25,0.025,3,0.05,30,0,0,0,0,0,0,0,
35,9_16,Forward,9,16,10.8759027,106.8075572,10.8807,106.81078,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",637,0.637,70,1.166666667,32.76,2,0.020076869,20076.86907,103.0345895,103.0345895,1.367856327,0.001367856,9_16
36,10_9,U-turn,10,9,10.8762014,106.807517,10.8759027,106.8075572,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,25,0.025,3,0.05,30,0,0,0,0,0,0,0,
37,10_7,Backward,10,7,10.8762014,106.807517,10.8746507,106.8061372,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",259,0.259,52,0.866666667,17.93076923,1,0.010038456,10038.45612,30.92323019,30.92323019,4.616356856,0.004616357,7_9
