original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,gis_route_distance_km,average_travel_time_s,average_travel_time_min,average_speed_kmh,assigned_grid_count,assigned_grid_area_km2,assigned_grid_area_m2,Popij,assigned_grid_population_total,Sij_m,Sij_km,forward_source_link_name,assignment_source_original_index
34,9_10,U-turn,9,10,10.8759027,106.8075572,10.8762014,106.807517,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,25,0.025,3,0.05,30,0,0,0,0,0,0,0,,
35,9_16,Forward,9,16,10.8759027,106.8075572,10.8807,106.81078,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",637,0.637,70,1.166666667,32.76,8,0.020076853,20076.85267,103.5711957,103.5711957,8.640766887,0.008640767,,
36,10_9,U-turn,10,9,10.8762014,106.807517,10.8759027,106.8075572,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,25,0.025,3,0.05,30,0,0,0,0,0,0,0,,
37,10_7,Backward,10,7,10.8762014,106.807517,10.8746507,106.8061372,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",259,0.259,52,0.866666667,17.93076923,3,0.00752884,7528.840007,31.25839941,31.25839941,9.405718485,0.009405718,7_9,28
38,10_6,Backward,10,6,10.8762014,106.807517,10.875778,106.8051008,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,439,0.439,51.67238843,0.861206474,30.585,3,0.00752884,7528.840007,31.25839941,31.25839941,9.405718485,0.009405718,7_9,28
39,10_33,Forward,10,33,10.8762014,106.807517,10.8713888,106.8066598,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,People's Security University - Tien Thanh Factory - National Highway 1,650,0.65,141,2.35,16.59574468,8,0.020076906,20076.90612,57.82465934,57.82465934,12.05098435,0.012050984,,
40,10_25,Forward,10,25,10.8762014,106.807517,10.8736134,106.8029052,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,739,0.739,119.2255983,1.987093305,22.314,15,0.03764424,37644.24018,141.0431905,141.0431905,34.7234442,0.034723444,,
41,11_12,U-turn,11,12,10.877729,106.805858,10.8778558,106.805685,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,133,0.133,88,1.466666667,5.440909091,0,0,0,0,0,0,0,,
42,11_14,Forward,11,14,10.877729,106.805858,10.879921,106.80729,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",289,0.289,82,1.366666667,12.68780488,7,0.017567295,17567.29539,88.01093985,88.01093985,44.75089382,0.044750894,,
43,12_11,U-turn,12,11,10.8778558,106.805685,10.877729,106.805858,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,138,0.138,66,1.1,7.527272727,0,0,0,0,0,0,0,,
